StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;LocationLatitude;LocationLongitude;Q_RelevantIDDuplicate;Q_RelevantIDDuplicateScore;Q_RelevantIDFraudScore;Sex;Age;Location_size;Income_year_family;Region;Selftrust_satisfied_proud_of_life;Justice_respect_for_everyone;New_ideas_creativity_originality;Caring_of_others;Show_personal_capabilities_admiration;Wellbeing_enjoying_life;Surprises_new_activities;Safe_environment_avoid_dangers;Being_rich_owning_expensive_stuff;Obeying_always_following_rules;Being_content_dont_ask_more;Trust_in_future_optimism;Listening_others_opinions;Being_free_to_choose_plans_activities;Loyal_with_friends_caring_near_people;Being_successful_impressionate_others;Having_fun_pleasure;Lokking_for_adventures_risk_exciting;Country_safe_from_threats_int_ext_stable_order;Command_on_others;Good_manners_dont_disturb;Religious;Not_alone_in_life;Nature_environment;Social_networks_phone;Social_network_computer;TV;Radio;Podcast;Newspaper_print;Newspaper_phone;Newspaper_computer;Magazines;Party_to_vote_important_features;Liberism;Sovranism;Conservatorism;Authoritarianism;Politics_interested;Importance_of_elections_italy;Importance_of_elections_europe;Voting_not_important;Importance_of_information;Politics_impacts_on_life;Political_orientation;Vote_italy_2013;Vote_europe_2014;Vote_italy_2018;Vote_italy_2019_intentionality;Vote_europe_2019_intentionality;Status;Location_grow_up;Study_title;Work;isNew;Q_TotalDuration;enc;gc;age
25/04/19 04:44;25/04/19 04:46;IP Address;93.57.249.116;100;147;TRUE;25/04/19 04:46;435.442.962.646.484.000;10.326.202.392.578.100;TRUE;100;0;Femmina;21;Tra 2.000-4999 persone;Fino a 20.000 euro;Toscana;6 - molto simile;4 - leggermente simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;5 - simile;6 - molto simile;4 - leggermente simile;4 - leggermente simile;4 - leggermente simile;5 - simile;4 - leggermente simile;3 - leggermente diversa;5 - simile;5;2;4;1;1;1;3;1;1;Diritti per le donne e le minoranze,Occupazione,Salute;1;2;2;3;4;6;3;5;5;6;Apolitico;Non ho votato;Non ho votato;Non ho votato;Non ho intenzione di votare;Non andrei a votare;Nubile/Celibe;Area rurale;Diploma di scuola superiore o equivalente;Sono uno/a studente;;147;0;1;18-24
25/04/19 04:44;25/04/19 04:48;IP Address;47.53.180.228;100;245;TRUE;25/04/19 04:48;4.085.260.009.765.620;1.426.849.365.234.370;;;;Maschio;24;Tra 10-49.999 persone;Da 20-39.999 euro;Puglia;5 - simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;4 - leggermente simile;6 - molto simile;6 - molto simile;4 - leggermente simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;4 - leggermente simile;5 - simile;6 - molto simile;5 - simile;6 - molto simile;5 - simile;6 - molto simile;6 - molto simile;5;4;4;3;2;2;2;2;3;Educazione e investimenti in ricerca,Corruzione o scandali (anche se non coinvolgono direttamente i candidati alla tornata elettorale),Occupazione;21;-13;-23;-34;6;6;6;5;5;6;Di Centro;Movimento 5 Stelle;Movimento 5 Stelle;Movimento 5 Stelle;Movimento 5 Stelle;Movimento 5 Stelle;Nubile/Celibe;Piccola città;Laurea magistrale o equivalente;Sono uno/a studente;TRUE;245;0;1;18-24
25/04/19 04:43;25/04/19 04:49;IP Address;87.5.148.86;100;323;TRUE;25/04/19 04:49;457.368.011.474.609.000;97.263.946.533.203.100;;;;Femmina;47;Meno di 2.000 persone;Da 20-39.999 euro;Lombardia;6 - molto simile;6 - molto simile;5 - simile;6 - molto simile;4 - leggermente simile;5 - simile;5 - simile;6 - molto simile;1 - molto diversa;6 - molto simile;6 - molto simile;5 - simile;6 - molto simile;4 - leggermente simile;6 - molto simile;1 - molto diversa;5 - simile;3 - leggermente diversa;6 - molto simile;1 - molto diversa;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;5;2;5;5;1;1;2;1;3;Diritti per le donne e le minoranze,Salario e diritti dei lavoratori,Ambiente,Salute,Prezzi e costo della vita,Sicurezza e Difesa;29;-25;-22;-41;3;3;4;1;4;3;Di Destra;Centro-Destra;Forza Italia;Lega;Lega;Forza Italia;Sposata/o o convivi;Area rurale;Diploma di scuola superiore o equivalente;Lavoro come dipendente;;323;0;1;35-49
25/04/19 04:43;25/04/19 04:49;IP Address;87.3.246.27;100;359;TRUE;25/04/19 04:49;444.134.063.720.703.000;12.201.202.392.578.100;;;;Femmina;39;Tra 10-49.999 persone;Da 20-39.999 euro;Emilia Romagna;1 - molto diversa;3 - leggermente diversa;4 - leggermente simile;1 - molto diversa;5 - simile;6 - molto simile;6 - molto simile;5 - simile;6 - molto simile;5 - simile;3 - leggermente diversa;3 - leggermente diversa;3 - leggermente diversa;4 - leggermente simile;3 - leggermente diversa;3 - leggermente diversa;5 - simile;5 - simile;6 - molto simile;5 - simile;4 - leggermente simile;1 - molto diversa;3 - leggermente diversa;4 - leggermente simile;5;2;3;3;2;1;3;2;2;Educazione e investimenti in ricerca,Corruzione o scandali (anche se non coinvolgono direttamente i candidati alla tornata elettorale),Occupazione,Salario e diritti dei lavoratori,Ambiente,Salute;22;31;-50;50;1;1;1;2;1;1;Apolitico;Non ho votato;Non ho votato;Non ho votato;Non ho ancora deciso chi votare;Non ho ancora deciso chi votare;Sposata/o o convivi;Area rurale;Laurea magistrale o equivalente;Lavoro come dipendente;;359;0;1;35-49
25/04/19 04:43;25/04/19 04:50;IP Address;2.226.225.232;100;382;TRUE;25/04/19 04:50;408.332.977.294.921.000;14.25;;2;0;Maschio;43;Tra 500-999.999 persone;Fino a 20.000 euro;Campania;4 - leggermente simile;5 - simile;5 - simile;4 - leggermente simile;5 - simile;4 - leggermente simile;4 - leggermente simile;5 - simile;1 - molto diversa;3 - leggermente diversa;5 - simile;4 - leggermente simile;5 - simile;6 - molto simile;5 - simile;3 - leggermente diversa;5 - simile;3 - leggermente diversa;4 - leggermente simile;2 - diversa;5 - simile;1 - molto diversa;5 - simile;6 - molto simile;3;4;4;4;1;2;1;3;2;Occupazione,Salario e diritti dei lavoratori,Ambiente,Pensioni e assistenza sociale,Prezzi e costo della vita;10;-41;-32;-26;5;5;5;1;6;6;Di Centro-Sinistra;Movimento 5 Stelle;Non ho votato;Movimento 5 Stelle;Movimento 5 Stelle;Non andrei a votare;Nubile/Celibe;Grande città (500.000+ abitanti);Diploma di scuola superiore o equivalente;Mi prendo cura di casa e famiglia;;382;0;1;35-49
25/04/19 04:44;25/04/19 04:50;IP Address;93.57.254.36;100;356;TRUE;25/04/19 04:50;4.370.849.609.375;10.403.594.970.703.100;;2;0;Maschio;22;Tra 100-499.999 persone;Da 40-59.999 euro;Toscana;5 - simile;5 - simile;6 - molto simile;3 - leggermente diversa;4 - leggermente simile;6 - molto simile;4 - leggermente simile;3 - leggermente diversa;6 - molto simile;2 - diversa;2 - diversa;6 - molto simile;2 - diversa;5 - simile;3 - leggermente diversa;6 - molto simile;5 - simile;3 - leggermente diversa;5 - simile;2 - diversa;2 - diversa;4 - leggermente simile;3 - leggermente diversa;4 - leggermente simile;5;2;2;1;1;1;3;5;1;Politica estera,Occupazione,Ambiente,Migrazione e confini,Supporto alle imprese italiane,Sicurezza e Difesa;42;-10;11;20;5;6;7;1;7;4;Di Centro-Destra;Non ho votato;Non ho votato;Altro;Forza Italia;Non ho ancora deciso chi votare;Nubile/Celibe;Piccola città;Diploma di scuola superiore o equivalente;Sono uno/a studente;;356;0;1;18-24
25/04/19 04:49;25/04/19 04:53;IP Address;79.30.17.73;100;239;TRUE;25/04/19 04:53;38.080.902.099.609.300;16.041.107.177.734.300;;2;0;Maschio;22;Meno di 2.000 persone;Fino a 20.000 euro;Calabria;4 - leggermente simile;5 - simile;3 - leggermente diversa;4 - leggermente simile;5 - simile;5 - simile;6 - molto simile;6 - molto simile;6 - molto simile;5 - simile;4 - leggermente simile;4 - leggermente simile;5 - simile;5 - simile;6 - molto simile;4 - leggermente simile;5 - simile;4 - leggermente simile;4 - leggermente simile;5 - simile;5 - simile;4 - leggermente simile;4 - leggermente simile;6 - molto simile;5;4;5;3;2;4;5;5;3;Occupazione,Salario e diritti dei lavoratori,Ambiente,Salute,Supporto alle imprese italiane,Sicurezza e Difesa;30;22;19;28;6;5;5;6;7;7;Di Destra;Movimento 5 Stelle;Movimento 5 Stelle;Forza Italia;Movimento 5 Stelle;Fratelli d'Italia;Nubile/Celibe;Area rurale;Laurea triennale o equivalente;Sono uno/a studente;;239;0;1;18-24
25/04/19 04:44;25/04/19 04:53;IP Address;151.25.151.146;100;522;TRUE;25/04/19 04:53;418.903.961.181.640.000;125.124.053.955.078.000;TRUE;98;0;Maschio;61;Piu' di 1 milione persone;Da 20-39.999 euro;Lazio;5 - simile;6 - molto simile;5 - simile;6 - molto simile;4 - leggermente simile;1 - molto diversa;6 - molto simile;6 - molto simile;5 - simile;6 - molto simile;5 - simile;6 - molto simile;4 - leggermente simile;6 - molto simile;6 - molto simile;6 - molto simile;5 - simile;3 - leggermente diversa;6 - molto simile;5 - simile;6 - molto simile;6 - molto simile;4 - leggermente simile;6 - molto simile;2;4;4;2;1;2;1;4;5;Educazione e investimenti in ricerca,Corruzione o scandali (anche se non coinvolgono direttamente i candidati alla tornata elettorale),Occupazione,Ambiente,Pensioni e assistenza sociale,Supporto alle imprese italiane;1;39;31;42;3;3;5;1;7;3;Di Destra;Centro-Destra;Lega Nord;Fratelli d'Italia;Fratelli d'Italia;Fratelli d'Italia;Sposata/o o convivi;Grande città (500.000+ abitanti);Dottorato di ricerca;Sono in pensione;;522;0;1;50-64
25/04/19 04:43;25/04/19 04:54;IP Address;93.41.112.71;100;632;TRUE;25/04/19 04:54;418.903.961.181.640.000;125.124.053.955.078.000;TRUE;98;5;Femmina;52;Piu' di 1 milione persone;Da 20-39.999 euro;Lazio;4 - leggermente simile;6 - molto simile;5 - simile;6 - molto simile;4 - leggermente simile;5 - simile;5 - simile;4 - leggermente simile;4 - leggermente simile;4 - leggermente simile;3 - leggermente diversa;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;3 - leggermente diversa;5 - simile;4 - leggermente simile;6 - molto simile;3 - leggermente diversa;4 - leggermente simile;6 - molto simile;6 - molto simile;6 - molto simile;5;5;4;2;1;3;1;2;4;Educazione e investimenti in ricerca,Occupazione,Ambiente,Salute,Prezzi e costo della vita,Facce e proposte nuove, innovative;18;-29;-49;1;3;7;7;1;7;6;Apolitico;Centro;Forza Italia;Movimento 5 Stelle;Movimento 5 Stelle;Non ho ancora deciso chi votare;Nubile/Celibe;Grande città (500.000+ abitanti);Diploma di scuola superiore o equivalente;Sto cercando un lavoro;;632;0;1;50-64
25/04/19 04:52;25/04/19 04:54;IP Address;151.32.100.30;100;108;TRUE;25/04/19 04:54;450.724.945.068.359.000;76.876.983.642.578.100;;2;0;Femmina;25;Piu' di 1 milione persone;Oltre 300.000 euro;Piemonte;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;5 - simile;6 - molto simile;6 - molto simile;5 - simile;5 - simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;6 - molto simile;5 - simile;6 - molto simile;5;5;5;4;4;4;5;4;4;Educazione e investimenti in ricerca,Diritti per le donne e le minoranze,Salario e diritti dei lavoratori;39;29;32;32;7;6;7;6;6;6;Di Centro;Centro-Sinistra;Movimento 5 Stelle;Partito Democratico;Forza Italia;Fratelli d'Italia;Sposata/o o convivi;Grande città (500.000+ abitanti);Dottorato di ricerca;Lavoro come dirigente;;108;0;1;25-34
