Stagione	Campionato	Campionato_sigla	Giornata	Data	CoT	Squadra	Numero	Avversario	Avversario_sigla	Risultato_finale	PoNo	Minuto_1	Risultato_parziale_1	Modo_1	Assist_1	Minuto_2	Risultato_parziale_2	Modo_2	Assist_2	Minuto_3	Risultato_parziale_3	Modo_3	Assist_3	Minuto_4	Risultato_parziale_4	Modo_4	Assist_4	N_goals
Stagione 08/09	Campionato Primavera Girone A	Primavera A	3	25/10/2008	C	Juventus Primavera		Torino Primavera	Torino U19	03:00		51'	02:00															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	5	08/11/2008	C	Juventus Primavera		Sampdoria Primavera	Sampdoria U19	01:00	P	39'	01:00															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	6	15/11/2008	C	Juventus Primavera		Genoa Primavera	Genoa U19	02:01	P	79'	02:01															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	7	22/11/2008	T	Juventus Primavera		Modena Primavera	Modena U19	01:02		75'	01:02															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	9	03/12/2008	T	Juventus Primavera		Parma Primavera	Parma U19	02:01	P	17'	01:01															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	10	06/12/2008	T	Juventus Primavera		AC Pisa Berretti	AC Pisa	00:02	P	90'+3	00:02															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	11	13/12/2008	C	Juventus Primavera		Grosseto Juniores	Grosseto U19	06:00	P	9'	01:00															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	13	10/01/2009	C	Juventus Primavera		Sassuolo Primavera	Sassuolo U19	01:01	P	65'	01:01															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	15	24/01/2009	C	Juventus Primavera		Bologna Primavera	Bologna U19	02:00		19'	01:00															1
Stagione 08/09	Viareggio Cup	Viareggio Cup	Semifinale	21/02/2009	T	Juventus Primavera		Torino Primavera	Torino U19	01:03		35'	00:01			75'	01:02											2
Stagione 08/09	Viareggio Cup	Viareggio Cup	Finale	23/02/2009	C	Juventus Primavera		Sampdoria Primavera	Sampdoria U19	04:01	P	38'	02:00		Salvatore D'Elia	90'+2	04:01	Azione personale										2
Stagione 08/09	Campionato Primavera Girone A	Primavera A	24	18/04/2009	T	Juventus Primavera		Grosseto Juniores	Grosseto U19	00:02	P	42'	00:01															1
Stagione 08/09	Campionato Primavera Girone A	Primavera A	25	25/04/2009	C	Juventus Primavera		AC Siena U19	Siena U19	03:00	P	85'	02:00															1
Stagione 08/09	Campionato Primavera Fase Finale	Primavera Fase Finale	Ottavi	16/05/2009	T	Juventus Primavera		Catania Primavera	Catania U19	02:04		78'	01:03			89'	02:04											2
Stagione 09/10	Campionato Primavera Girone A	Primavera A	2	19/09/2009	C	Juventus Primavera		AC Siena U19	Siena U19	03:03	P	66'	01:02			81'	02:03			90'+1	03:03	Rigore						3
Stagione 09/10	Campionato Primavera Girone A	Primavera A	3	10/10/2009	T	Juventus Primavera		Livorno Primavera	Livorno	01:04	P	30'	01:01	Rigore		52'	01:02			61'	01:04							3
Stagione 09/10	Campionato Primavera Girone A	Primavera A	8	14/11/2009	T	Juventus Primavera		Grosseto Juniores	Grosseto U19	01:04		16'	00:01															1
Stagione 09/10	Campionato Primavera Girone A	Primavera A	11	05/12/2009	T	Juventus Primavera		Empoli Primavera	Empoli U19	01:02	P	26'	00:01															1
Stagione 09/10	Campionato Primavera Girone A	Primavera A	12	12/12/2009	C	Juventus Primavera		Piacenza Primavera	Piacenza U19	03:00	P	33'	01:00			78'	02:00											2
Stagione 09/10	Campionato Primavera Girone A	Primavera A	7	20/01/2010	C	Juventus Primavera		Parma Primavera	Parma U19	03:01	P	68'	03:01	Rigore														1
Stagione 09/10	Viareggio Cup	Viareggio Cup	Fase a gironi	01/02/2010	C	Juventus Primavera		Legia Varsavia U19	Legia U19	03:00	P	1'	01:00	Colpo di testa	Simone Esposito	44'	02:00	Rigore										2
Stagione 09/10	Viareggio Cup	Viareggio Cup	Fase a gironi	03/02/2010	C	Juventus Primavera		Vicenza Primavera	Vicenza U19	04:00	P	30'	02:00															1
Stagione 09/10	Viareggio Cup	Viareggio Cup	Ottavi	09/02/2010	C	Juventus Primavera		Cesena Primavera	Cesena U19	03:01		40'	01:00			59'	02:01		72'	03:01	Rigore							3
Stagione 09/10	Viareggio Cup	Viareggio Cup	Semifinale	13/02/2010	C	Juventus Primavera		Atalanta Primavera	Atalanta U19	02:00	P	58'	02:00	Rigore														1
Stagione 09/10	Viareggio Cup	Viareggio Cup	Finale	15/02/2010	C	Juventus Primavera		Empoli Primavera	Empoli U19	04:02	P	19'	01:00	Rigore		52'	02:00		65'	04:00	Tap-in	Iago Falque						3
Stagione 09/10	Campionato Primavera Girone A	Primavera A	19	06/03/2010	C	Juventus Primavera		Torino Primavera	Torino U19	02:01	P	90'+2	02:01	Rigore														1
Stagione 09/10	Campionato Primavera Girone A	Primavera A	26	01/05/2010	C	Juventus Primavera		Fiorentina Primavera	Fiorentina U19	03:01	P	65'	03:01															1
Stagione 09/10	Campionato Primavera Fase Finale	Primavera Fase Finale	Ottavi	08/05/2010	T	Juventus Primavera	(11.)	Brescia Primavera	Brescia U19  (4.)	03:02	P	12'	00:01			68'	02:02	Colpo di testa										2
Stagione 10/11	Campionato Primavera Girone C	Primavera C	2	18/09/2010	C	AC Siena U19	(14.)	Ascoli Primavera	Ascoli U19  (2.)	04:02		35'	02:01															1
Stagione 10/11	Campionato Primavera Girone C	Primavera C	3	25/09/2010	C	AC Siena U19	(9.)	Pescara Primavera 	Pescara U19  (3.)	01:00		16'	01:00															1
Stagione 10/11	Coppa Italia	Coppa Italia	Turno 3	27/10/2010	T	AC Siena		US Lecce	Lecce	03:02		31'	00:01	Destro	Reginaldo													1
Stagione 10/11	Serie B	Serie B	16	20/11/2010	T	AC Siena	(2.)	Calcio Portogruaro-Summaga	Portosummaga  (20.)	01:04		90'	01:04	Sinistro	Marcelo Larrondo													1
Stagione 10/11	Serie B	Serie B	27	18/02/2011	C	US Grosseto FC	(12.)	Empoli FC 	Empoli  (7.)	02:01	P	31'	01:00	Colpo di testa	Marco Turati													1
Stagione 11/12	Serie B	Serie B	1	26/08/2011	T	Delfino Pescara 1936	(1.)	Hellas Verona	Verona  (4.)	01:02	P	13'	00:01	Colpo di testa	Damiano Zanon													1
Stagione 11/12	Serie B	Serie B	2	30/08/2011	C	Delfino Pescara 1936	(8.)	Empoli FC 	Empoli  (6.)	03:02	P	10'	01:00	Rigore		19'	02:00	Destro	Stefano Giacomelli									2
Stagione 11/12	Serie B	Serie B	3	04/09/2011	T	Delfino Pescara 1936	(2.)	Modena FC	Modena  (18.)	03:02	P	13'	00:01	Destro	Marco Verratti													1
Stagione 11/12	Serie B	Serie B	6	24/09/2011	T	Delfino Pescara 1936	(9.)	SS Juve Stabia	Juve Stabia   (22.)	03:02	P	72'	02:02	Rigore														1
