DATA_RIF;IN;OUT;BLOCKED_A;BLOCKED_B;T_WORK;T_WAIT
2021-01-01;0;0;0;0;1;6
2021-01-02;15;36;0;0;2;7
2021-01-03;0;0;0;0;0;6
2021-01-04;173;118;0;0;8;5
2021-01-05;153;208;0;0;4;6
2021-01-06;0;0;0;0;1;7
2021-01-07;180;345;0;0;8;5
2021-01-08;191;297;0;0;6;5
2021-01-09;32;106;0;0;1;6
2021-01-10;0;0;0;0;1;6
2021-01-11;195;283;0;0;8;7
2021-01-12;357;375;0;0;9;4
2021-01-13;289;304;0;0;5;5
2021-01-14;277;215;0;0;7;3
2021-01-15;296;195;0;0;6;3
2021-01-16;42;275;0;0;2;4
2021-01-17;0;0;0;0;0;3
2021-01-18;267;263;0;0;7;3
2021-01-19;447;290;0;0;7;3
2021-01-20;342;234;0;0;6;3
2021-01-21;303;364;0;0;4;3
2021-01-22;280;226;0;0;4;2
2021-01-23;39;175;0;0;1;3
2021-01-24;0;0;0;0;0;5
2021-01-25;254;352;0;0;4;3
2021-01-26;452;228;0;0;4;4
2021-01-27;290;245;0;0;5;3
2021-01-28;283;215;0;0;4;3
2021-01-29;273;440;0;0;5;4
2021-01-30;34;149;0;0;2;4
2021-01-31;0;0;0;0;2;4
2021-02-01;242;246;0;0;7;4
2021-02-02;407;84;0;0;5;4
2021-02-03;286;249;0;0;4;3
2021-02-04;247;353;0;0;6;3
2021-02-05;284;204;0;0;5;4
2021-02-06;35;274;0;0;1;3
2021-02-07;0;0;0;0;2;4
2021-02-08;213;458;0;0;5;4
2021-02-09;400;249;0;0;5;4
2021-02-10;274;351;0;0;4;4
2021-02-11;258;348;0;0;4;3
2021-02-12;222;192;0;0;2;4
2021-02-13;34;118;0;0;0;3
2021-02-14;0;0;0;0;0;3
2021-02-15;256;247;0;0;6;4
2021-02-16;369;313;0;0;5;2
2021-02-17;221;202;0;0;4;4
2021-02-18;302;242;0;0;3;2
2021-02-19;255;210;0;0;4;4
2021-02-20;35;0;0;0;0;4
2021-02-21;0;0;0;0;4;3
2021-02-22;229;463;0;0;5;4
2021-02-23;395;158;0;0;4;4
2021-02-24;268;346;0;0;3;2
2021-02-25;249;293;0;0;5;4
2021-02-26;243;219;0;0;4;3
2021-02-27;28;53;0;0;2;3
2021-02-28;0;0;0;0;0;3
2021-03-01;204;237;0;0;6;3
2021-03-02;366;256;0;0;5;4
2021-03-03;270;308;0;0;3;4
2021-03-04;215;254;0;0;5;4
2021-03-05;299;283;0;0;4;3
2021-03-06;34;93;0;0;2;4
2021-03-07;0;0;0;0;0;4
2021-03-08;227;229;0;0;4;4
2021-03-09;372;308;0;0;6;3
2021-03-10;238;219;0;0;4;3
2021-03-11;243;265;0;0;4;2
2021-03-12;242;255;0;0;3;2
2021-03-13;33;84;0;0;1;3
2021-03-14;0;0;0;0;0;5
2021-03-15;220;249;0;0;5;5
2021-03-16;391;276;0;0;6;4
2021-03-17;255;221;0;0;4;4
2021-03-18;243;233;0;0;5;2
2021-03-19;221;319;0;0;5;4
2021-03-20;23;78;0;0;2;3
2021-03-21;0;0;0;0;0;3
2021-03-22;207;223;0;0;5;3
2021-03-23;341;264;0;0;4;3
2021-03-24;200;265;0;0;4;2
2021-03-25;259;253;0;0;4;3
2021-03-26;221;245;0;0;5;3
2021-03-27;25;79;0;0;0;4
2021-03-28;0;0;0;0;1;3
2021-03-29;181;203;0;0;5;4
2021-03-30;311;212;0;0;5;4
2021-03-31;229;238;0;0;4;2
2021-04-01;179;218;0;0;4;3
2021-04-02;255;197;0;0;4;3
2021-04-03;25;49;0;0;1;4
2021-04-04;0;0;0;0;0;5
2021-04-05;190;205;0;0;5;4
2021-04-06;182;149;0;0;4;4
2021-04-07;295;181;0;0;5;2
2021-04-08;203;293;0;0;6;4
2021-04-09;223;211;0;0;5;2
2021-04-10;28;70;0;0;0;5
2021-04-11;0;0;0;0;0;3
2021-04-12;203;233;0;0;5;4
2021-04-13;372;237;0;0;6;2
2021-04-14;252;262;0;0;4;3
2021-04-15;248;246;0;0;4;2
2021-04-16;243;245;0;0;5;2
2021-04-17;26;87;0;0;1;5
2021-04-18;0;0;0;0;2;4
2021-04-19;225;193;0;0;4;3
2021-04-20;406;267;0;0;5;3
2021-04-21;273;227;0;0;5;4
2021-04-22;264;258;0;0;8;3
2021-04-23;260;308;0;0;5;4
2021-04-24;28;79;0;0;0;3
2021-04-25;0;0;0;0;1;4
2021-04-26;224;219;0;0;4;4
2021-04-27;374;224;0;0;4;2
2021-04-28;256;247;0;0;4;2
2021-04-29;246;279;0;0;5;3
2021-04-30;260;190;0;0;5;3
2021-05-01;0;0;0;0;0;4
2021-05-02;0;0;0;0;0;4
2021-05-03;242;213;0;0;5;2
2021-05-04;271;236;0;0;4;3
2021-05-05;264;262;0;0;5;2
2021-05-06;253;238;0;0;4;4
2021-05-07;240;276;0;0;6;3
2021-05-08;28;122;0;0;2;5
2021-05-09;0;0;0;0;0;4
2021-05-10;220;234;0;0;5;5
2021-05-11;353;275;0;0;5;5
2021-05-12;233;259;0;0;6;4
2021-05-13;245;302;0;0;6;4
2021-05-14;240;337;0;0;4;3
2021-05-15;22;127;0;0;0;5
2021-05-16;0;0;0;0;0;4
2021-05-17;210;276;0;0;5;4
2021-05-18;354;254;0;0;4;3
2021-05-19;279;316;0;0;3;2
2021-05-20;251;272;0;0;3;2
2021-05-21;285;296;0;0;4;3
2021-05-22;26;92;0;0;2;3
2021-05-23;0;0;0;0;1;3
2021-05-24;219;253;0;0;5;3
2021-05-25;369;261;0;0;4;4
2021-05-26;277;221;0;0;4;2
2021-05-27;246;312;0;0;4;4
2021-05-28;252;243;0;0;4;2
2021-05-29;25;39;0;0;2;4
2021-05-30;0;0;0;0;1;2
2021-05-31;215;212;0;0;5;4
2021-06-01;370;198;0;0;4;4
2021-06-02;277;229;0;0;4;2
2021-06-03;207;198;0;0;4;3
2021-06-04;312;261;0;0;5;4
2021-06-05;26;56;0;0;1;4
2021-06-06;0;0;0;0;0;4
2021-06-07;260;199;0;0;6;5
2021-06-08;377;249;0;0;4;3
2021-06-09;286;284;0;0;5;4
2021-06-10;271;347;0;0;6;4
