age,gender,race,date,city,state,manner_of_death,mental_illness
44,Female,Asian,2000-05-04,Alameda,CA,Shot,false
26,Male,Asian,2000-06-02,Fresno,CA,Shot,false
36,Male,Asian,2000-08-13,Rosemead,CA,Shot,false
29,Male,Asian,2001-02-09,Valley Glen,CA,Shot,false
25,Male,Asian,2001-06-10,Riverside,CA,Shot,false
55,Male,Asian,2001-06-23,Henderson,NV,Shot,false
33,Male,Asian,2001-06-30,Syracuse,NY,Shot,true
29,Male,Asian,2001-07-01,Beaverton,OR,Shot,true
21,Male,Asian,2001-07-06,Garden Grove,CA,Shot,false
27,Female,Asian,2001-08-09,Gorst,WA,Shot,false
55,Male,Asian,2002-02-24,Los Angeles,CA,Shot,false
52,Male,Asian,2002-05-06,Oakland,CA,Shot,true
23,Male,Asian,2002-05-25,Fresno,CA,Shot,false
37,Male,Asian,2002-09-11,Stanton,CA,Shot,false
46,Male,Asian,2002-09-29,Saint Paul,MN,Shot,true
21,Male,Asian,2002-10-09,San Diego,CA,Shot,false
38,Male,Asian,2002-11-03,Burlingame,CA,Shot,false
28,Male,Asian,2002-11-16,San Francisco,CA,Shot,false
44,Male,Asian,2002-12-14,San Gabriel,CA,Shot,false
23,Male,Asian,2003-01-05,Houston,TX,Shot,false
48,Male,Asian,2003-02-19,Garden Grove,CA,Shot,true
39,Male,Asian,2003-04-18,Las Vegas,NV,Shot,true
25,Female,Asian,2003-07-13,San Jose,CA,Shot,true
41,Male,Asian,2003-09-02,Baldwin Park,CA,Shot,false
62,Male,Asian,2003-10-12,Van Nuys,CA,Shot,false
19,Male,Asian,2003-10-21,Portland,OR,Shot,false
19,Male,Asian,2004-01-23,Long Beach,CA,Shot,false
21,Male,Asian,2004-01-25,Corona,CA,Shot,false
27,Male,Asian,2004-05-11,Santa Ana,CA,Shot,true
43,Male,Asian,2004-06-04,San Jose,CA,Shot,false
21,Male,Asian,2004-08-12,San Jose,CA,Shot,false
57,Male,Asian,2004-10-17,Vallejo,CA,Shot,false
43,Male,Asian,2005-01-21,Chicago,IL,Shot,false
39,Male,Asian,2005-01-21,Chicago,IL,Shot,false
32,Male,Asian,2005-02-19,New Orleans,LA,Shot,false
49,Male,Asian,2005-08-11,Dublin,CA,Shot,false
61,Male,Asian,2005-08-11,Dublin,CA,Shot,false
34,Male,Asian,2006-04-30,McAllen,TX,Shot,false
21,Male,Asian,2006-06-09,North Las Vegas,NV,Shot,true
22,Male,Asian,2006-06-21,Oakland,CA,Shot,false
19,Male,Asian,2006-07-22,Minneapolis,MN,Shot,false
53,Male,Asian,2007-05-16,Hillsboro,OR,Shot,true
37,Male,Asian,2007-11-11,Lutz,FL,Shot,false
25,Male,Asian,2007-12-31,La Habra,CA,Shot,false
37,Male,Asian,2008-03-16,Las Vegas,NV,Shot,true
47,Male,Asian,2008-04-30,Hickory,NC,Shot,false
21,Male,Asian,2008-05-13,Los Angeles,CA,Shot,false
36,Male,Asian,2008-07-01,West Valley City,UT,Shot,false
31,Male,Asian,2008-09-02,Hawthorne,NV,Shot,false
23,Male,Asian,2009-02-05,Minneapolis,MN,Shot,false
37,Female,Asian,2009-04-10,Santa Ana,CA,Shot,false
41,Male,Asian,2009-12-19,Lacey,WA,Shot,false
51,Male,Asian,2010-06-17,Hillsboro,OR,Shot,false
26,Male,Asian,2010-11-02,Austin,TX,Shot,false
50,Male,Asian,2010-11-04,Bloomington,MN,Shot,false
46,Male,Asian,2010-12-29,San Francisco,CA,Shot,true
51,Male,Asian,2011-01-15,San Jose,CA,Shot,false
57,Male,Asian,2011-03-03,Escondido,CA,Shot,true
26,Male,Asian,2011-04-23,Portsmouth,VA,Shot,false
63,Male,Asian,2011-04-24,Monterey Park,CA,Shot,false
72,Male,Asian,2011-07-04,Yuba City,CA,Shot,false
42,Male,Asian,2011-09-14,Monterey Park,CA,Shot,false
44,Male,Asian,2011-10-03,San Francisco,CA,Shot,false
21,Male,Asian,2011-12-02,Pakala Village,HI,Shot,true
21,Male,Asian,2011-12-03,Merced,CA,Shot,false
40,Female,Asian,2012-01-04,Rosemead,CA,Shot,true
22,Male,Asian,2012-02-23,Los Angeles,CA,Shot,false
36,Male,Asian,2012-06-14,El Monte,CA,Shot,true
27,Male,Asian,2012-07-07,Plentywood,MT,Shot,false
25,Male,Asian,2012-07-15,Philadelphia,PA,Shot,false
32,Male,Asian,2012-07-18,San Francisco,CA,Shot,true
20,Male,Asian,2012-09-12,Lilburn,GA,Shot,true
22,Male,Asian,2012-10-23,Saint Paul,MN,Shot,false
22,Male,Asian,2012-11-10,Palm Springs,CA,Shot,true
27,Male,Asian,2013-01-05,Wenonah,NJ,Shot,false
39,Male,Asian,2013-01-11,Santa Ana,CA,Shot,false
32,Male,Asian,2013-05-06,Suisun City,CA,Shot,true
35,Male,Asian,2013-05-17,Alhambra,CA,Shot,false
38,Female,Asian,2013-05-30,Sterling,VA,Shot,true
23,Male,Asian,2013-06-07,Santa Monica,CA,Shot,false
21,Male,Asian,2013-06-08,Wilmer,AL,Shot,false
32,Male,Asian,2013-06-28,San Antonio,TX,Shot,false
35,Male,Asian,2013-07-02,Oroville,CA,Shot,false
31,Male,Asian,2013-07-04,Arlington,TX,Shot,false
27,Male,Asian,2013-07-06,Fresno,CA,Shot,false
34,Male,Asian,2013-07-18,Columbia,SC,Shot,false
35,Male,Asian,2013-07-23,Las Vegas,NV,Shot,false
27,Male,Asian,2013-11-05,Fresno,CA,Shot,false
45,Male,Asian,2013-12-29,Bakersfield,CA,Shot,false
43,Male,Asian,2014-01-25,Lodi,CA,Shot,true
32,Male,Asian,2014-02-26,Norwalk,CT,Shot,false
40,Male,Asian,2014-03-09,Buffalo Grove,IL,Shot,false
34,Male,Asian,2014-03-19,Pacifica,CA,Shot,true
47,Female,Asian,2014-03-25,Greensboro,NC,Shot,false
45,Male,Asian,2014-04-13,Los Angeles,CA,Shot,false
21,Male,Asian,2014-07-13,San Diego,CA,Shot,true
20,Male,Asian,2014-08-03,Saint Paul,MN,Shot,false
33,Male,Asian,2014-09-19,Las Cruces,NM,Shot,false
25,Male,Asian,2014-10-23,Jean,NV,Shot,true
38,Male,Asian,2014-11-09,Irving,TX,Shot,false
31,Male,Asian,2014-11-11,Plant City,FL,Shot,false
20,Male,Asian,2014-11-14,Chippewa Falls,WI,Shot,false
21,Male,Asian,2014-12-24,Delray Beach,FL,Shot,false
53,Male,Asian,2015-01-02,Shelton,WA,Shot,true
,Male,Asian,2015-02-01,Houston,TX,Shot,false
39,Male,Asian,2015-04-22,Eldorado Springs,CO,Shot,false
32,Male,Asian,2015-05-05,South El Monte,CA,Shot,false
60,Male,Asian,2015-07-02,San Diego,CA,Shot,false
59,Male,Asian,2015-09-09,El Monte,CA,Shot,false
31,Male,Asian,2015-09-10,Potsdam,NY,Shot,false
44,Male,Asian,2015-10-11,Lake Charles,LA,Shot,false
,Male,Asian,2015-11-30,Aurora,CO,Shot,false
39,Male,Asian,2015-12-14,Long Beach,CA,Shot,false
33,Male,Asian,2015-12-29,Rosemead,CA,Shot,false
43,Male,Asian,2016-01-06,Buford,GA,Shot,true
40,Male,Asian,2016-01-27,Lenoir City,TN,Shot,false
33,Male,Asian,2005-01-22,San Jose,CA,Shot,false
28,Male,Asian,2005-02-01,Fresno,CA,Shot,false
